user_id,first_story_timestamp,first_comment_timestamp,first_seen,story_count,comment_count,event_count
kwahyaj,,2016-02-11 17:54:54.000000 UTC,2016-02-11 17:54:54.000000 UTC,,2,2
lai-yin,2021-01-03 18:47:39.000000 UTC,2020-12-30 00:24:57.000000 UTC,2020-12-30 00:24:57.000000 UTC,24,59,83
lajolla,,2017-11-26 21:43:38.000000 UTC,2017-11-26 21:43:38.000000 UTC,,1,1
lnandor,,2014-06-22 07:57:34.000000 UTC,2014-06-22 07:57:34.000000 UTC,,2,2
lost953,,2016-10-14 06:07:37.000000 UTC,2016-10-14 06:07:37.000000 UTC,,14,14
mark007,2008-07-29 14:44:03.000000 UTC,2008-07-29 14:44:41.000000 UTC,2008-07-29 14:44:03.000000 UTC,1,1,2
meganap,,2013-08-01 17:56:35.000000 UTC,2013-08-01 17:56:35.000000 UTC,,2,2
neilb14,2016-11-04 21:18:39.000000 UTC,2016-11-04 21:46:27.000000 UTC,2016-11-04 21:18:39.000000 UTC,1,1,2
nestorp,2015-07-29 09:24:44.000000 UTC,2015-07-04 19:46:54.000000 UTC,2015-07-04 19:46:54.000000 UTC,8,27,35
nirinor,,2022-04-22 02:46:03.000000 UTC,2022-04-22 02:46:03.000000 UTC,,5,5
nzjixiv,,2018-07-17 18:09:22.000000 UTC,2018-07-17 18:09:22.000000 UTC,,1,1
opt_out,,2019-04-23 03:58:39.000000 UTC,2019-04-23 03:58:39.000000 UTC,,1,1
osxrand,2014-01-23 18:40:17.000000 UTC,2013-11-19 17:04:23.000000 UTC,2013-11-19 17:04:23.000000 UTC,3,73,76
ountacc,,2015-12-09 12:42:31.000000 UTC,2015-12-09 12:42:31.000000 UTC,,1,1
pedrotp,2016-12-29 16:09:54.000000 UTC,2015-10-09 18:10:11.000000 UTC,2015-10-09 18:10:11.000000 UTC,1,1,2
phswiss,2018-03-16 11:20:50.000000 UTC,2018-03-09 14:05:15.000000 UTC,2018-03-09 14:05:15.000000 UTC,8,1,9
